site_id,siteno,longtitude,latitude,geometry,pop_1km,pop_5km,pop_10km
55,300024504,3.08261,51.07161,POINT (3.08261 51.07161),3363.55517578125,25846.953125,96615.015625
56,300024505,3.08244,51.07147,POINT (3.08244 51.07147),3365.658203125,25902.69140625,96573.578125
57,300024549,3.24491,50.96056,POINT (3.24491 50.96056),653.68408203125,36204.78125,172995.8125
58,300024550,3.24471,50.96021,POINT (3.24471 50.96021),657.363525390625,36602.19921875,173246.296875
59,300024551,3.18479,50.96784,POINT (3.18479 50.96784),814.5972900390625,49406.2265625,170236.734375
60,300024552,3.18411,50.96783,POINT (3.18411 50.96783),797.3162841796875,50297.90234375,169842.578125
61,300024592,3.0921,50.80555,POINT (3.0921 50.80555),2542.87744140625,42329.9296875,135687.03125
62,300024594,3.09154,50.8058,POINT (3.09154 50.8058),2501.4775390625,42497.54296875,134914.484375
63,300025204,2.74289,51.13529,POINT (2.74289 51.13529),4956.3603515625,25951.923828125,62781.3828125
64,300025205,2.75737,51.13359,POINT (2.75737 51.13359),4265.822265625,22165.06640625,61317.34765625
65,300025206,2.75511,51.13435,POINT (2.75511 51.13435),4417.85009765625,22558.328125,61351.3671875
66,300025380,2.74369,51.1347,POINT (2.74369 51.1347),5307.70361328125,25723.533203125,62778.5625
67,300025382,2.85624,50.85018,POINT (2.85624 50.85018),2067.940185546875,30228.962890625,66950.5546875
68,300025383,2.85608,50.85032,POINT (2.85608 50.85032),2005.025146484375,30219.4453125,66920.4609375
69,300025572,4.71526,50.87549,POINT (4.71526 50.87549),18642.22265625,119790.1171875,205591.734375
70,300025573,4.59318,50.95682,POINT (4.59318 50.95682),942.2632446289062,36004.05078125,191582.515625
71,300025574,4.59164,50.95589,POINT (4.59164 50.95589),804.0556640625,35793.0546875,191807.046875
72,300025575,4.64689,50.89135,POINT (4.64689 50.89135),1836.48974609375,82674.140625,239762.984375
73,300025576,4.64685,50.89128,POINT (4.64685 50.89128),1833.6776123046875,82675.71875,239736.828125
74,300025577,3.25728,50.81909,POINT (3.25728 50.81909),7841.53369140625,105553.5859375,268815.53125
75,300025580,3.25731,50.81925,POINT (3.25731 50.81925),7902.3505859375,105521.28125,268787.84375
76,300025592,4.69597,50.84606,POINT (4.69597 50.84606),1022.8296508789062,93140.90625,197754.203125
77,300025593,4.70796,50.88672,POINT (4.70796 50.88672),15468.9765625,126356.2109375,207966.09375
78,300025808,4.1652,50.75824,POINT (4.1652 50.75824),900.7069091796875,16599.486328125,162811.453125
79,300025809,4.16537,50.75848,POINT (4.16537 50.75848),905.8980712890625,16649.30078125,162940.15625
80,300025810,4.29571,50.91418,POINT (4.29571 50.91418),4546.52001953125,150442.0,943920.5625
81,300025811,4.29568,50.91439,POINT (4.29568 50.91439),4413.71240234375,148808.9375,940130.75
82,300025812,4.33336,50.75128,POINT (4.33336 50.75128),3345.06787109375,94915.7578125,686926.1875
83,300025813,4.33304,50.75175,POINT (4.33304 50.75175),3121.62109375,97041.7109375,694713.25
84,300025814,3.18772,50.91717,POINT (3.18772 50.91717),4023.817626953125,66677.5703125,206006.03125
85,300025855,4.17294,50.89621,POINT (4.17294 50.89621),813.04736328125,47854.96875,279731.59375
86,300025856,4.1709,50.89132,POINT (4.1709 50.89132),625.6796875,47929.48828125,279352.4375
87,300025932,4.81259,50.99084,POINT (4.81259 50.99084),770.4979248046875,43703.9453125,142738.46875
88,300025933,4.91325,51.082,POINT (4.91325 51.082),2403.90673828125,27283.4296875,119178.265625
89,300025934,4.91334,51.08191,POINT (4.91334 51.08191),2386.45458984375,27256.197265625,119178.71875
90,300026025,4.6243,51.35752,POINT (4.6243 51.35752),505.552490234375,22943.23828125,92061.4609375
91,300026026,4.62422,51.35739,POINT (4.62422 51.35739),532.52392578125,22912.978515625,92296.96875
92,300026086,4.64479,51.14989,POINT (4.64479 51.14989),971.908447265625,44980.5,161315.46875
93,300026087,4.64469,51.14998,POINT (4.64469 51.14998),966.2432861328125,45013.69921875,161245.53125
94,300026090,4.81283,51.17345,POINT (4.81283 51.17345),3664.692138671875,39688.76171875,126730.953125
95,300026104,4.58437,51.11687,POINT (4.58437 51.11687),1202.86669921875,56188.3125,215895.34375
96,300026105,4.58444,51.11705,POINT (4.58444 51.11705),1243.765625,56167.1171875,215832.59375
97,300026110,4.99698,51.14813,POINT (4.99698 51.14813),758.453125,36890.98046875,125479.1875
98,300026111,4.99643,51.1481,POINT (4.99643 51.1481),805.212890625,36847.33203125,125349.7421875
99,300026136,4.46882,51.04564,POINT (4.46882 51.04564),8995.091796875,102728.21875,274021.21875
100,300026137,4.46883,51.0457,POINT (4.46883 51.0457),8836.8466796875,102759.359375,274102.71875
101,300026274,5.04481,50.97799,POINT (5.04481 50.97799),6672.908203125,29990.185546875,96925.0234375
102,300026275,5.04474,50.9779,POINT (5.04474 50.9779),6603.17041015625,30028.90234375,96872.7109375
103,300026302,4.73872,51.31681,POINT (4.73872 51.31681),1158.3330078125,30967.33984375,104797.328125
104,300026303,4.73852,51.31682,POINT (4.73852 51.31682),1138.475341796875,31031.63671875,104688.6953125
105,300026348,4.24943,50.75509,POINT (4.24943 50.75509),1437.2117919921875,74320.8828125,398163.78125
106,300026349,4.24951,50.75533,POINT (4.24951 50.75533),1412.559326171875,74312.40625,401295.28125
107,300026758,4.7087919,50.8870744,POINT (4.7087919 50.8870744),14854.2978515625,126623.3984375,207752.546875
108,300026820,4.6954674,50.8471728,POINT (4.6954674 50.8471728),1226.562255859375,95078.4453125,197912.34375
109,300026861,4.4707023,50.9903936,POINT (4.4707023 50.9903936),1519.929931640625,86358.671875,267759.53125
110,300026986,4.811783,51.1739426,POINT (4.811783 51.1739426),3252.078369140625,40194.07421875,126911.8515625
