42,OUT,Maasmechelen teller 2 Fietser Dilsen stokem
43,IN,Maaseik teller 1 Fietser Nederland
43,OUT,Maaseik teller 1 Fietser Maaseik
44,IN,Maaseik teller 2 Fietser Nederland
55,OUT,Torhout_1 [Bike OUT] / Torhout teller 1 Fietser Ichtegem
56,IN,Torhout teller 2 Fietser Ichtegem
56,OUT,Torhout teller 2 Fietser Torhout
57,IN,Meulebeke teller 1 Fietser Pittem
57,OUT,Meulebeke teller 1 Fietser Ingelmunster
58,IN,Meulebeke teller 2 Fietser Ingelmunster
58,OUT,Meulebeke teller 2 Fietser Pittem
59,IN,Ardooie teller 1 Fietser Ardooie
59,OUT,Ardooie teller 1 Fietser Roeselare
60,IN,Ardooie teller 2 Fietser Roeselare
60,OUT,Ardooie teller 2 Fietser Ardooie
61,IN,Wervik teller 2 Fietser Geluwe
61,OUT,Wervik teller 2 Fietser Menen
62,IN,Wervik teller 1 Fietser Menen
62,OUT,Wervik teller 1 Fietser Geluwe
63,IN,Nieuwpoort teller 3 Fietser Kust
63,OUT,Nieuwpoort teller 3 Fietser Nieuwpoort
78,IN,Pepingen teller 1 Fietser Halle
78,OUT,Pepingen teller 1 Fietser Ninove
79,IN,Pepingen teller 2 Fietser Ninove
79,OUT,Pepingen teller 2 Fietser Halle
80,IN,Wemmel teller 1 Fietser Wemmel
80,OUT,Wemmel teller 1 Fietser Merchtem
81,IN,Wemmel teller 2 Fietser Merchtem
81,OUT,Wemmel teller 2 Fietser Wemmel
82,IN,Beersel teller 1 Fietser Beersel
82,OUT,Beersel teller 1 Fietser Eigen Brakel
83,IN,Beersel teller 2 Fietser Eigen Brakel
83,OUT,Beersel teller 2 Fietser Beersel
84,IN,Roeselare totem Fietser Roeselare
84,OUT,Roeselare totem Fietser Izegem
85,IN,Asse teller 1 Fietser Ternat
85,OUT,Asse teller 1 Fietser Asse
86,IN,Asse teller 2 Fietser Asse
86,OUT,Asse teller 2 Fietser Ternat
87,IN,Aarschot Fietser Aarschot
87,OUT,Aarschot Fietser Werchter
88,IN,Westerlo teller 1 Fietser Westerlo
88,OUT,Westerlo teller 1 Fietser Herselt
89,IN,Westerlo teller 2 Fietser Herselt
89,OUT,Westerlo teller 2 Fietser Westerlo
90,IN,Brecht teller 1 Fietser Wuustwezel
90,OUT,Brecht teller 1 Fietser Brecht
64,IN,Nieuwpoort teller 1 Fietser Nieuwpoort
64,OUT,Nieuwpoort teller 1 Fietser Westende
65,IN,Nieuwpoort teller 2 Fietser Nieuwpoort
65,OUT,Nieuwpoort teller 2 Fietser Westende
66,IN,Nieuwpoort totem Fietser Nieuwpoort
66,OUT,Nieuwpoort totem Fietser Kust
67,IN,Ieper totem Fietser Poperingen
67,OUT,Ieper totem Fietser Ieper
68,IN,Ieper Fietser Poperingen
68,OUT,Ieper Fietser Ieper
69,IN,Leuven teller 1 Fietser Heverlee
69,OUT,Leuven teller 1 Fietser Leuven
70,IN,Kampenhout teller 1 Fietser Kampenhout
70,OUT,Kampenhout teller 1 Fietser Haacht
77,IN,Leuven teller 2 Fietser IN
91,IN,Brecht teller 2 Fietser Brecht
91,OUT,Brecht teller 2 Fietser Wuustwezel
92,IN,Nijlen teller 1 Fietser Nijlen
92,OUT,Nijlen teller 1 Fietser Kessel
93,IN,Nijlen teller 2 Fietser Kessel
93,OUT,Nijlen teller 2 Fietser Nijlen
94,IN,Herentals teller 2 Fietser Herentals
94,OUT,Herentals teller 2 Fietser Nijlen
95,IN,Lier teller 1 Fietser Lier
95,OUT,Lier teller 1 Fietser Koningshooikt
96,IN,Lier teller 2 Fietser Koningshooikt
96,OUT,Lier teller 2 Fietser Lier
97,IN,Geel teller 1 Fietser Meerhout
97,OUT,Geel teller 1 Fietser Geel
98,IN,Geel teller 2 Fietser Geel
98,OUT,Geel teller 2 Fietser Meerhout
99,IN,Mechelen_1 Fietser Otterbeek / Mechelen teller 1 Fietser Otterbeek
100,IN,Mechelen teller 2 Fietser Mechelen
100,OUT,Mechelen teller 2 Fietser Otterbeek
101,IN,Diest teller 1 Fietser Diest
101,OUT,Diest teller 1 Fietser Bekkevoort
102,IN,Diest teller 2 Fietser Bekkevoort
102,OUT,Diest teller 2 Fietser Diest
102,IN/OUT,Diest_2 [Bike]
105,IN,St. pieters leeuw teller 2 Fietser Huizingen
105,OUT,St. pieters leeuw teller 2 Fietser UIT
106,IN,St. pieters leeuw teller 1 Fietser St. pieters leeuw
106,OUT,St. pieters leeuw teller 1 Fietser Huizingen
107,IN,leuven totem Fietser Aarschotse steenweg
107,OUT,leuven totem Fietser Vuurkruisemlaan
108,IN,Heverlee teller 1 Fietser Oud heverlee
108,OUT,Heverlee teller 1 Fietser Heverlee
109,IN,Zemst Fietser Zemst
109,OUT,Zemst Fietser Mechelen
110,IN,Herentals totem Fietser Nijlen
110,OUT,Herentals totem Fietser Herentals
71,IN,Kampenhout teller 2 Fietser Herent
71,OUT,Kampenhout teller 2 Fietser Mechelen
72,IN,Herent teller 1 Fietser Kortenberg
72,OUT,Herent teller 1 Fietser Leuven
73,IN,Herent_2 [Pedestrian Leuven] / Herent teller 2 Fietser Leuven
73,OUT,Herent_2 [Pedestrian Kortenberg] / Herent teller 2 Fietser Kortenberg
74,IN,Kortrijk teller 1 Fietser Brugse poort
