FID,the_geom,code,timestamp,precip_quantity,temp_avg,temp_max,temp_min,temp_grass_pt100_avg,temp_soil_avg,temp_soil_avg_5cm,temp_soil_avg_10cm,temp_soil_avg_20cm,temp_soil_avg_50cm,wind_speed_10m,wind_speed_avg_30m,wind_gusts_speed,humidity_rel_shelter_avg,pressure,sun_duration,short_wave_from_sky_avg,sun_int_avg,qc_flags
aws_1day.fid--65986ded_19d21fbe95f_2985,POINT (51.075 4.525),6439,2019-08-11T00:00:00,0.02,18.36,21.22,15.2,18.9,20.38,20.19,20.33,20.51,20.49,3.44,,9.19,68.22,1013.79,395.92,175.6,119.89,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":false,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_298c,POINT (51.325 4.364),6438,2019-08-11T00:00:00,0.0,18.55,21.03,15.77,19.5,20.94,20.59,20.49,19.61,20.9,5.22,,10.48,67.59,1014.0,401.0,166.32,121.41,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_2980,POINT (50.511 6.073),6494,2019-08-11T00:00:00,0.0,12.51,16.37,7.99,,14.42,14.64,14.85,15.01,15.09,2.93,,9.01,75.71,938.12,,179.07,,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":false,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":true,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":true}}"
aws_1day.fid--65986ded_19d21fbe95f_297e,POINT (50.582 4.689),6459,2019-08-11T00:00:00,0.0,16.68,20.0,13.41,17.39,18.02,17.99,18.36,18.92,18.85,3.59,,8.93,69.22,996.91,273.58,150.65,99.08,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_2974,POINT (51.348 3.202),6418,2019-08-11T00:00:00,0.1,17.78,20.04,15.61,,,,,,,7.47,,14.6,72.06,1012.24,302.83,,91.39,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":false,""TEMP_SOIL_AVG"":false,""TEMP_SOIL_AVG_5CM"":false,""TEMP_SOIL_AVG_10CM"":false,""TEMP_SOIL_AVG_20CM"":false,""TEMP_SOIL_AVG_50CM"":false,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_2975,POINT (51.075 4.525),6439,2019-08-11T00:00:00,0.02,18.36,21.22,15.2,18.9,20.38,20.19,20.33,20.51,20.49,3.44,,9.19,68.22,1013.79,395.92,175.6,119.89,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":false,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_297f,POINT (50.096 4.595),6455,2019-08-11T00:00:00,0.0,15.64,19.74,11.66,16.76,16.83,17.3,17.65,18.05,18.66,2.45,,7.48,73.5,987.71,295.67,134.48,113.17,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_2977,POINT (49.62 5.587),6484,2019-08-11T00:00:00,0.11,14.65,17.87,9.72,23.64,14.98,15.94,16.12,17.84,19.19,1.77,,6.4,80.8,979.08,272.75,126.73,82.7,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":false,""TEMP_SOIL_AVG"":false,""TEMP_SOIL_AVG_5CM"":false,""TEMP_SOIL_AVG_10CM"":false,""TEMP_SOIL_AVG_20CM"":false,""TEMP_SOIL_AVG_50CM"":false,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_2978,POINT (50.904 3.122),6414,2019-08-11T00:00:00,0.0,17.1,20.83,13.53,16.11,18.46,19.27,19.58,19.74,19.78,3.85,,10.01,75.87,1011.69,209.5,153.56,66.18,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":false,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":true,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
aws_1day.fid--65986ded_19d21fbe95f_2976,POINT (50.98 3.816),6434,2019-08-11T00:00:00,0.0,17.28,20.45,13.64,18.26,19.93,19.92,20.22,20.49,20.41,3.48,4.46,10.12,72.34,1012.95,327.5,157.85,95.26,"{""validated"":{""PRECIP_QUANTITY"":true,""TEMP_AVG"":true,""TEMP_MAX"":true,""TEMP_MIN"":true,""TEMP_GRASS_PT100_AVG"":true,""TEMP_SOIL_AVG"":true,""TEMP_SOIL_AVG_5CM"":true,""TEMP_SOIL_AVG_10CM"":true,""TEMP_SOIL_AVG_20CM"":true,""TEMP_SOIL_AVG_50CM"":true,""WIND_SPEED_10M"":true,""WIND_SPEED_AVG_30M"":true,""WIND_GUSTS_SPEED"":true,""HUMIDITY_REL_SHELTER_AVG"":false,""PRESSURE"":true,""SUN_DURATION"":false,""SHORT_WAVE_FROM_SKY_AVG"":false,""SUN_INT_AVG"":false}}"
