site_id,site_name,longitude,latitude,municipality,district_code,road_code,operator,interval_min,install_date,segment_id,road_name,morphology_en,road_category_code,road_category_en,access_en,geometry_method_en,manager_code,manager_label,length_m,dist_to_segment_m,bike_lane_width_m,has_cycleway,bike_lane_source,poi_shop_250m,poi_shop_500m,poi_shop_1000m,poi_education_250m,poi_education_500m,poi_education_1000m,poi_hotel_250m,poi_hotel_500m,poi_hotel_1000m,poi_hospital_250m,poi_hospital_500m,poi_hospital_1000m,sensor_age_days,install_year,bike_width_imputed
9810422,Antonius Rodolphestraat,4.64852165,50.85904305,Leuven,AWV214,9810422,Unknown,60,,9810422,Antonius Rodolphestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,56.17,0.0,5.0,True,osm_bike_network,0,1,3,0,0,1,0,0,1,0,0,2,0,2026,False
"[9810422, 23911551]","['Antonius Rodolphestraat', 'Voervalleilaan']",4.647768109014516,50.85896892338537,Leuven,AWV214,"[9810422, 23911551]",Unknown,60,,"[9810422, 23911551]","['Antonius Rodolphestraat', 'Voervalleilaan']",single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,53.82,0.0,5.0,True,osm_bike_network,0,1,3,0,0,1,0,0,1,0,0,2,0,2026,False
"[1453390705, 9810422]",Antonius Rodolphestraat,4.649164053903242,50.85910750701014,Leuven,AWV214,"[1453390705, 9810422]",Unknown,60,,"[1453390705, 9810422]",Antonius Rodolphestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,35.45,0.0,4.0,True,osm_bike_network,0,1,3,0,0,1,0,0,1,0,0,2,0,2026,False
9810433,Duisburgsestraat,4.64895154143688,50.859446818272524,Leuven,AWV214,9810433,Unknown,60,,9810433,Duisburgsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,80.19,0.0,5.0,True,osm_bike_network,0,1,3,0,0,1,0,0,1,0,0,2,0,2026,False
"[1453390480, 9810433]",Duisburgsestraat,4.64900302880975,50.85882867935208,Leuven,AWV214,"[1453390480, 9810433]",Unknown,60,,"[1453390480, 9810433]",Duisburgsestraat,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,67.28,0.0,4.0,True,osm_bike_network,0,1,3,0,0,1,0,0,1,0,0,2,0,2026,False
43547521,Slagmaaldelle,4.64763656195943,50.86002589218892,Leuven,AWV214,43547521,Unknown,60,,43547521,Slagmaaldelle,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,66.64,0.0,5.0,True,osm_bike_network,0,1,5,0,0,1,0,0,1,0,0,2,0,2026,False
9810457,Slagmaaldelle,4.648976054723901,50.86022967481075,Leuven,AWV214,9810457,Unknown,60,,9810457,Slagmaaldelle,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,18.97,0.0,5.0,True,osm_bike_network,0,1,5,0,0,1,0,0,1,0,0,2,0,2026,False
"[43547521, 352952835]",Slagmaaldelle,4.649208837243965,50.860168194220044,Leuven,AWV214,"[43547521, 352952835]",Unknown,60,,"[43547521, 352952835]",Slagmaaldelle,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,30.28,0.0,2.0,True,osm_bike_network,0,1,5,0,0,1,0,0,1,0,0,2,0,2026,False
9810809,Unknown,4.64140655,50.85403985000001,Leuven,AWV214,9810809,Unknown,60,,9810809,Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,30.53,0.0,1.5,True,osm_bike_network,0,0,1,0,0,0,0,0,0,0,0,0,0,2026,False
963637846,Sint-Jansbergsesteenweg,4.652088600000001,50.85401025,Leuven,AWV214,963637846,Unknown,60,,963637846,Sint-Jansbergsesteenweg,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,15.44,0.0,6.0,True,osm_bike_network,0,1,2,0,0,1,0,1,1,0,0,0,0,2026,False
"[1102421434, 3877190]",Sint-Jansbergsesteenweg,4.650629619647099,50.85185443628073,Leuven,AWV214,"[1102421434, 3877190]",Unknown,60,,"[1102421434, 3877190]",Sint-Jansbergsesteenweg,divided_road_non_motorway,OW,minor_road,public_road,surveyed,24062,Stad Leuven,506.17,0.0,11.0,True,osm_bike_network,0,0,2,0,0,0,0,0,1,0,0,0,0,2026,False
9810850,Unknown,4.650944902557169,50.8543194879241,Leuven,AWV214,9810850,Unknown,60,,9810850,Unknown,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,174.31,0.0,5.0,True,osm_bike_network,0,0,3,0,0,1,0,0,1,0,0,0,0,2026,False
"[23120873, 195735948]",Lissenweg,4.64391129367466,50.85400031464268,Leuven,AWV214,"[23120873, 195735948]",Unknown,60,,"[23120873, 195735948]",Lissenweg,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,238.14,0.0,1.5,True,osm_bike_network,0,0,1,0,0,0,0,0,0,0,0,0,0,2026,False
1159499052,Unknown,4.642101627266234,50.85448230190163,Leuven,AWV214,1159499052,Unknown,60,,1159499052,Unknown,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,153.58,0.0,5.0,True,osm_bike_network,0,0,1,0,0,0,0,0,0,0,0,0,0,2026,False
"[1303760152, 9810850, 1159499052]",Unknown,4.646394066240809,50.8551684960981,Leuven,AWV214,"[1303760152, 9810850, 1159499052]",Unknown,60,,"[1303760152, 9810850, 1159499052]",Unknown,single_carriageway,IW,local_road,public_road,surveyed,24062,Stad Leuven,514.19,0.0,5.0,True,osm_bike_network,0,0,3,0,0,0,0,0,1,0,0,0,0,2026,False
9810891,Unknown,4.647590181321463,50.853455905338436,Leuven,AWV214,9810891,Unknown,60,,9810891,Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,404.44,0.0,1.5,True,osm_bike_network,0,0,3,0,0,0,0,0,1,0,0,0,0,2026,False
309097396,Unknown,4.7016705853188,50.88323575252031,Leuven,AWV214,309097396,Unknown,60,,309097396,Unknown,cycleway_footpath,-9,not_applicable,public_road,surveyed,24062,Stad Leuven,13.01,0.0,3.0,True,osm_bike_network,18,252,527,7,12,94,2,10,24,3,15,37,0,2026,False
9864377,Alfred Delaunoislaan,4.71656376760307,50.872319879473736,Leuven,AWV214,9864377,Unknown,60,,9864377,Alfred Delaunoislaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,87.82,0.0,5.0,True,osm_bike_network,10,28,103,0,2,56,0,1,8,1,3,21,0,2026,False
9900678,Philipslaan,4.729782,50.86637795,Leuven,AWV214,9900678,Unknown,60,,9900678,Philipslaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,95.51,0.0,5.0,True,osm_bike_network,0,3,19,0,1,4,0,0,0,0,1,2,0,2026,False
22875174,Spaanse-Kroonlaan,4.7283943986132835,50.867404083753314,Leuven,AWV214,22875174,Unknown,60,,22875174,Spaanse-Kroonlaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,338.27,0.0,5.0,True,osm_bike_network,0,8,24,0,0,5,0,0,0,1,1,5,0,2026,False
11989384,Spaanse-Burchtlaan,4.72540635,50.865487,Leuven,AWV214,11989384,Unknown,60,,11989384,Spaanse-Burchtlaan,single_carriageway,EW,local_access_road,public_road,surveyed,24062,Stad Leuven,87.87,0.0,5.0,True,osm_bike_network,1,2,19,0,1,5,0,0,1,0,1,2,0,2026,False
